# Type, Name, Class_ID, Sizeof, Value, C_Type, C_Format, Hidden, Description, Min_Value, Max_Value, Permissions (Read|Write|Set-by-create), Mandatory (Mandatory|Optional), Operations (Create|Delete|Set|Get|get-Next|Test|Reboot|stArt-download|downLoad-section|End-download|activate-Image|coMmit-image|sYnchronize-time)
me, gal_eth_prof,272,,,,,, GAL Ethernet Profile,,,,, CDSG
    attribute, max_gem_payload_size,,2,, int, %u,, Max GEM payload Size,,, RWS, M,
me, gem_iw_tp,266,,,,,, GEM Interworking Termination Point,,,,, CDSG
    attribute, gem_port_net_ctp_conn_ptr,,2,, int, %u,, GEM port network CTP connectivity pointer,,, RWS, M,
    attribute, iw_opt,,1,, enum,,, Interworking option,,, RWS, M,
        value, circuit_emulated_tdm,,,0,,,,,,,,,
        value, mac_bridged_lan,,,1,,,,,,,,,
        value, reserved_2,,,2,,,,,,,,,
        value, reserved_3,,,3,,,,,,,,,
        value, video_return_path,,,4,,,,,,,,,
        value, ieee_8021_p_mapper,,,5,,,,,,,,,
        value, ds_broadcast,,,6,,,,,,,,,
        value, mpls_tw_tdm_svc,,,7,,,,,,,,,
    attribute, svc_prof_ptr,,2,, int, %u,, Service profile pointer,,, RWS, M,
    attribute, iw_tp_ptr,,2,, int, %u,, Interworking termination point pointer,,, RWS, M,
    attribute, pptp_count,,1,, int, %u,, PPTP Counter,,, R, O,
    attribute, oper_state,,1,, enum,,, Operational State,,, R, O,
        value, enabled,,,0,,,,,,,,,
        value, disabled,,,1,,,,,,,,,
    attribute, gal_prof_ptr,,2,, int, %u,, GAL Profile Pointer,,, RWS, M,
    attribute, gal_lpbk_config,,1,, enum,,, GAL Loopback Config,,, RW, M,
        value, no_loopback,,,0,,,,,,,,,
        value, loopback_ds,,,1,,,,,,,,,
me, gem_port_net_ctp,268,,,,,, GEM Port Network CTP,,,,, CDSG
    attribute, port_id,,2,, int, %u,, Port ID,,, RWS, M,
    attribute, tcont_ptr,,2,, int, %u,, TCONT Pointer,,, RWS, M,
    attribute, direction,,1,, enum,,, Direction,,, RWS, M,
        value, uni_to_ani,,,1,,,,,,,,,
        value, ani_to_uni,,,2,,,,,,,,,
        value, bidirectional,,,3,,,,,,,,,
    attribute, traffic_mgmt_ptr_us,,2,, int, %u,, Traffic Management Pointer for US,,, RWS, M,
    attribute, traffic_desc_prof_ptr_us,,2,, int, %u,, Traffic Descriptor Profile Pointer for US,,, RWS, O,
    attribute, uni_count,,1,, int, %u,, Uni counter,,, R, O,
    attribute, pri_queue_ptr_ds,,2,, int, %u,, Priority Queue Pointer for downstream,,, RWS, M,
    attribute, encryption_state,,1,, int, %u,, Encryption State,,, R, O,
    attribute, traffic_desc_prof_ptr_ds,,2,, int, %u,, Traffic Descriptor profile pointer for DS,,, RWS, O,
    attribute, encryption_key_ring,,1,, enum,,, Encryption Key Ring,,, RWS, O,
        value, no_encryption,,,0,,,,,,,,,
        value, unicast_encryption_both_dir,,,1,,,,,,,,,
        value, broadcast_encryption,,,2,,,,,,,,,
        value, unicast_encryption_ds,,,3,,,,,,,,,
me, ieee_8021_p_mapper_svc_prof,130,,,,,, IEEE 802.1p mapper service profile,,,,, CDSG
    attribute, tp_ptr,,2,, int, %u,, TP pointer,,, RWS, M,
    attribute, interwork_tp_ptr_pri_0,,2,, int, %u,, Interwork TP pointer for P-bit priority 0:,,, RWS, M,
    attribute, interwork_tp_ptr_pri_1,,2,, int, %u,, Interwork TP pointer for P-bit priority 1,,, RWS, M,
    attribute, interwork_tp_ptr_pri_2,,2,, int, %u,, Interwork TP pointer for P-bit priority 2,,, RWS, M,
    attribute, interwork_tp_ptr_pri_3,,2,, int, %u,, Interwork TP pointer for P-bit priority 3,,, RWS, M,
    attribute, interwork_tp_ptr_pri_4,,2,, int, %u,, Interwork TP pointer for P-bit priority 4,,, RWS, M,
    attribute, interwork_tp_ptr_pri_5,,2,, int, %u,, Interwork TP pointer for P-bit priority 5,,, RWS, M,
    attribute, interwork_tp_ptr_pri_6,,2,, int, %u,, Interwork TP pointer for P-bit priority 6,,, RWS, M,
    attribute, interwork_tp_ptr_pri_7,,2,, int, %u,, Interwork TP pointer for P-bit priority 7,,, RWS, M,
    attribute, unmarked_frame_opt,,1,, enum,,, Unmarked Frame option,,, RWS, M,
        value, derive_implied_pcp,,,0,,,,,,,,,
        value, set_implied_pcp,,,1,,,,,,,,,
    attribute, dscp_to_pbit_mapping,,24,, bytes,,, DSCP to P-bit mapping,,, RW, M,
    attribute, default_pbit_assumption,,1,, int, %u,, Default P-bit assumption,,, RWS, M,
    attribute, mapper_tp_type,,1,, enum,,, TP Type,,, RWS, O,
        value, bridging_mapping,,,0,,,,,,,,,
        value, pptp_eth_uni,,,1,,,,,,,,,
        value, ip_host_config_data,,,2,,,,,,,,,
        value, eth_flow_tp,,,3,,,,,,,,,
        value, pptp_xdsl_uni,,,4,,,,,,,,,
        value, reserved,,,5,,,,,,,,,
        value, pptp_moca_uni,,,6,,,,,,,,,
        value, virtual_eth_interface_point,,,7,,,,,,,,,
        value, interworking_vcc_tp,,,8,,,,,,,,,
me, mac_bridge_port_config_data,47,,,,,, MAC Bridge Port Configuration Data,,,,, CDSG
    attribute, bridge_id_ptr,,2,, int, %u,, Bridge Id Pointer,,, RWS, M,
    attribute, port_num,,1,, int, %u,, Port num,,, RWS, M,
    attribute, tp_type,,1,, enum,,, TP Type,,, RWS, M,
        value, phy_path_tp_eth_uni,,,1,,,,,,,,,
        value, interworking_vcc_tp,,,2,,,,,,,,,
        value, ieee_8021_p_mapper_svc_prof,,,3,,,,,,,,,
        value, ip_host_config_data,,,4,,,,,,,,,
        value, gem_interworking_tp,,,5,,,,,,,,,
        value, multicast_gem_interworking_tp,,,6,,,,,,,,,
        value, phy_path_tp_xdsl_uni_part_1,,,7,,,,,,,,,
        value, phy_path_tp_vdsl_uni,,,8,,,,,,,,,
        value, eth_flow_tp,,,9,,,,,,,,,
        value, reserved_tp,,,10,,,,,,,,,
        value, virtual_eth_interface_point,,,11,,,,,,,,,
        value, phy_path_to_moca_uni,,,12,,,,,,,,,
    attribute, tp_ptr,,2,, int, %u,, TP Pointer,,, RWS, M,
    attribute, port_pri,,2,, int, %u,, Port Priority,,, RWS, O,
    attribute, port_path_cost,,2,, int, %u,, Port Path Cost,,, RWS, M,
    attribute, port_spanning_tree_ind,,1,, int, %u,, Port Path Cost,,, RWS, M,
    attribute, deprecated_1,,1,, int, %u,, Deprecated 1,,, RWS, O,
    attribute, deprecated_2,,1,, int, %u,, Deprecated 2,,, RWS, O,
    attribute, port_mac_addr,,6,, bytes,,, Port MAC Addr,,, R, O,
    attribute, outbound_td_ptr,,2,, int, %u,, Outbound TD Pointer,,, RW, O,
    attribute, inbound_td_ptr,,2,, int, %u,, Inbound TD Pointer,,, RW, O,
    attribute, mac_learning_depth,,1,, int, %u,, MAC Learning Depth,,, RWS, O,
me, mac_bridge_svc_prof,45,,,,,, MAC Bridge Service Profile,,,,, CDSG
    attribute, spanning_tree_ind,,1,, int, %u,, Spanning Tree Indication (bool),,, RWS, M,
    attribute, learning_ind,,1,, int, %u,, Learning Indication (bool),,, RWS, M,
    attribute, port_bridging_ind,,1,, int, %u,, Port Bridging Indication (bool),,, RWS, M,
    attribute, pri,,2,, int, %u,, Priority,,, RWS, M,
    attribute, max_age,,2,, int, %u,, Max Age,,, RWS, M,
    attribute, hello_time,,2,, int, %u,, Hello Time,,, RWS, M,
    attribute, forward_delay,,2,, int, %u,, Forward Delay,,, RWS, M,
    attribute, unknown_mac_addr_discard,,1,, int, %u,, Unknown MAC Address Discard (Bool),,, RWS, M,
    attribute, mac_learning_depth,,1,, int, %u,, MAC Learning Depth,,, RWS, O,
    attribute, dynamic_filtering_ageing_time,,4,, int, %u,, Dynamic Filtering Ageing Time,,, RWS, O,
me, vlan_tag_filter_data,84,,,,,, VLAN Tagging Filter Data,,,,, CDSG
    attribute, vlan_filter_list,,24,, bytes,,, VLAN Filter List,,, RWS, M,
    attribute, forward_oper,,1,, enum,,, Forward Operation,,, RWS, M,
        value, tagged_bridging_a_no_investigation_untagged_bridging_a,,,0,,,,,,,,,
        value, tagged_discarding_c_untagged_bridging_a,,,1,,,,,,,,,
        value, tagged_bridging_a_no_investigation_untagged_discarding_c,,,2,,,,,,,,,
        value, tagged_action_h_vid_investigation_untagged_bridging_a,,,3,,,,,,,,,
        value, tagged_action_h_vid_investigation_untagged_discarding_c,,,4,,,,,,,,,
        value, tagged_action_g_vid_investigation_untagged_bridging_a,,,5,,,,,,,,,
        value, tagged_action_g_vid_investigation_untagged_discarding_c,,,6,,,,,,,,,
        value, tagged_action_h_pri_investigation_untagged_bridging_a,,,7,,,,,,,,,
        value, tagged_action_h_pri_investigation_untagged_discarding_c,,,8,,,,,,,,,
        value, tagged_action_g_pri_investigation_untagged_bridging_a,,,9,,,,,,,,,
        value, tagged_action_g_pri_investigation_untagged_discarding_c,,,10,,,,,,,,,
        value, tagged_action_h_tci_investigation_untagged_bridging_a,,,11,,,,,,,,,
        value, tagged_action_h_tci_investigation_untagged_discarding_c,,,12,,,,,,,,,
        value, tagged_action_g_tci_investigation_untagged_bridging_a,,,13,,,,,,,,,
        value, tagged_action_g_tci_investigation_untagged_discarding_c,,,14,,,,,,,,,
        value, tagged_action_h_vid_investigation_untagged_bridging_a_dup,,,15,,,,,,,,,
        value, tagged_action_h_vid_investigation_untagged_discarding_c_dup,,,16,,,,,,,,,
        value, tagged_action_h_pri_investigation_untagged_bridging_a_dup,,,17,,,,,,,,,
        value, tagged_action_h_pri_investigation_untagged_discarding_c_dup,,,18,,,,,,,,,
        value, tagged_action_h_tci_investigation_untagged_bridging_a_dup,,,19,,,,,,,,,
        value, tagged_action_h_tci_investigation_untagged_discarding_c_dup,,,20,,,,,,,,,
        value, tagged_bridging_a_no_investigation_untagged_discarding_c_dup,,,21,,,,,,,,,
        value, tagged_action_j_vid_investigation_untagged_bridging_a,,,22,,,,,,,,,
        value, tagged_action_j_vid_investigation_untagged_discarding_c,,,23,,,,,,,,,
        value, tagged_action_j_pri_investigation_untagged_bridging_a,,,24,,,,,,,,,
        value, tagged_action_j_pri_investigation_untagged_discarding_c,,,25,,,,,,,,,
        value, tagged_action_j_tci_investigation_untagged_bridging_a,,,26,,,,,,,,,
        value, tagged_action_j_tci_investigation_untagged_discarding_c,,,27,,,,,,,,,
        value, tagged_action_vid_investigation_h_untagged_bridging_a,,,28,,,,,,,,,
        value, tagged_action_vid_investigation_h_untagged_discarding_c,,,29,,,,,,,,,
        value, tagged_action_pri_investigation_h_untagged_bridging_a,,,30,,,,,,,,,
        value, tagged_action_pri_investigation_h_untagged_discarding_c,,,31,,,,,,,,,
        value, tagged_action_tci_investigation_h_untagged_bridging_a,,,32,,,,,,,,,
        value, tagged_action_tci_investigation_h_untagged_discarding_c,,,33,,,,,,,,,
    attribute, num_of_entries,,1,, int, %u,, number of entries,,, RWS, M,
me, tcont,262,,,,,, T-CONT,,,,, SG
    attribute, alloc_id,,2,, int, %u,, Alloc-ID,,, RW, M,
    attribute, deprecated,,1,, int, %u,, Deprecated,,, RW, M,
    attribute, policy,,1,, enum,,, Policy,,, RW, M,
        value, null,,,0,,,, Null,,,,,
        value, strict_priority,,,1,,,, Strict priority,,,,,
        value, wrr,,,2,,,, WRR,,,,,
me, ext_vlan_tag_oper_config_data,171,,,,,, Extended VLAN Tagging Operation Configuration Data,,,,, CDSG
    attribute, assoc_type,,1,, enum,,, Association Type,,, RWS, M,
        value, mac_bridge_port_cfg_data,,,0,,,, MAC Bridge Port Configuration Data,,,,,
        value, ieee_8021p_mapper_service_profile,,,1,,,, IEEE 802.1p Mapper Service Profile,,,,,
        value, pptp_eth_uni,,,2,,,, Physical Path Termination Point Ethernet UNI,,,,,
        value, ip_host_cfg_data,,,3,,,, IP Host Config Data or IPv6 Host Config Data,,,,,
        value, pptp_xdsl_uni,,,4,,,, Physical Path Termination Point xDSL UNI,,,,,
        value, gem_iwtp,,,5,,,, GEM Interworking Termination Point,,,,,
        value, mcast_gem_iwtp,,,6,,,, Multicast GEM Interworking Termination Point,,,,,
        value, pptp_moca_uni,,,7,,,, Physical Path Termination Point MoCA UNI,,,,,
        value, reserved,,,8,,,, Reserved,,,,,
        value, eth_flow_tp,,,9,,,, Ethernet Flow Termination Point,,,,,
        value, veip,,,10,,,, Virtual Ethernet Interface Point,,,,,
